"Name","Phone","Address","Email","Website","ServiceArea","Instagram","Facebook","Twitter","Linkedin","Youtube","BusinessUrl","Rating","ReviewCount","PriceRange","Longitude","Latitude","Alias","BizId","Categories_0_title","Categories_0_url","Categories_1_title","Categories_1_url","Categories_2_title","Categories_2_url","Categories_3_title","Categories_3_url","Categories_4_title","Categories_4_url","FormattedAddress","IsAd","Open_time","ParentBusiness","Ranking","RenderAdInfo","ServicePricing","Snippet"
"Bluebird","(919) 213-9882","","info@bluebirdnc.com","http://bluebirdnc.com","","https://www.instagram.com/blue.birdnc","","","","","https://www.yelp.com/biz/bluebird-chapel-hill","4.3","110","","-79.0102471","35.905271069351244","bluebird-chapel-hill","L1hVKBkFBFMmSGE4vBUzvw","French","/search?find_desc=French&find_loc=Chapel+Hill%2C+NC","Upscale","/search?find_desc=Upscale&find_loc=Chapel+Hill%2C+NC","Trendy","/search?find_desc=Trendy&find_loc=Chapel+Hill%2C+NC","","","","","","false","","","11","false","","I don't know why it took me so long to come here. It's fabulous.  
Service was very friendly and helpful. Interior was very adorable with white and…"
"Elements","(919) 537-8780","","van@elementsofchapelhill.com,info@elementsofchapelhill.com","http://www.elementsofchapelhill.com","","https://www.instagram.com/elements_chapelhillnc","https://www.facebook.com/elementsofchapelhill","","","","https://www.yelp.com/biz/elements-chapel-hill","4.3","254","$$$","-79.0222769728371","35.9066678","elements-chapel-hill","b__KU64qb0A7edVyf0mPQg","Asian Fusion","/search?find_desc=Asian+Fusion&find_loc=Chapel+Hill%2C+NC","New American","/search?find_desc=New+American&find_loc=Chapel+Hill%2C+NC","Sushi Bars","/search?find_desc=Sushi+Bars&find_loc=Chapel+Hill%2C+NC","Classy","/search?find_desc=Classy&find_loc=Chapel+Hill%2C+NC","Upscale","/search?find_desc=Upscale&find_loc=Chapel+Hill%2C+NC","","false","","","12","false","","Great food, great service 
Convenient to Chapel Hill happenings
Quiet pleasant ambiance"
"Lime & Lemon - Chapel Hill","(984) 234-3409","","info@lnlrestaurant.com","https://www.lnlrestaurant.com","","","","","","","https://www.yelp.com/biz/lime-and-lemon-chapel-hill-chapel-hill","4.8","259","$$","-79.0105121","35.904355","lime-and-lemon-chapel-hill-chapel-hill","rFsCyNL_JK2piV-kFGtDQw","Indian","/search?find_desc=Indian&find_loc=Chapel+Hill%2C+NC","Romantic","/search?find_desc=Romantic&find_loc=Chapel+Hill%2C+NC","Trendy","/search?find_desc=Trendy&find_loc=Chapel+Hill%2C+NC","","","","","","false","","","13","false","","the food was great, but what made it a 5-star experience was our waiter, Edwin. No one in my family claims to be an Indian food expert, and he took…"
"Acme Food & Beverage Co","(919) 929-2263","","","http://www.acmecarrboro.com","","https://www.instagram.com/acmecarrboro","https://www.facebook.com/ACMEcarrboro","https://twitter.com/ACMEcarrboro","","","https://www.yelp.com/biz/acme-food-and-beverage-co-carrboro-2","3.8","618","$$","-79.070519","35.910464","acme-food-and-beverage-co-carrboro-2","7ZiKL8jps-9Xiu3LeVPGFQ","New American","/search?find_desc=New+American&find_loc=Chapel+Hill%2C+NC","Southern","/search?find_desc=Southern&find_loc=Chapel+Hill%2C+NC","Cocktail Bars","/search?find_desc=Cocktail+Bars&find_loc=Chapel+Hill%2C+NC","Trendy","/search?find_desc=Trendy&find_loc=Chapel+Hill%2C+NC","Casual","/search?find_desc=Casual&find_loc=Chapel+Hill%2C+NC","","false","","","14","false","","I had not been to Acme in over ten years and even then primarily went for brunch but we ended up having a fantastic dinner there.  The wedge salad was…"
"Lantern","(919) 969-8846","","","http://lanternrestaurant.com/","","","","","","","https://www.yelp.com/biz/lantern-chapel-hill","4","449","$$$","-79.0623213","35.910423","lantern-chapel-hill","W8eWYE6aFExgGzlKBtICNg","Asian Fusion","/search?find_desc=Asian+Fusion&find_loc=Chapel+Hill%2C+NC","Bars","/search?find_desc=Bars&find_loc=Chapel+Hill%2C+NC","Venues & Event Spaces","/search?find_desc=Venues+%26+Event+Spaces&find_loc=Chapel+Hill%2C+NC","Romantic","/search?find_desc=Romantic&find_loc=Chapel+Hill%2C+NC","Upscale","/search?find_desc=Upscale&find_loc=Chapel+Hill%2C+NC","","false","","","15","false","","From the moment you step foot inside, the Lantern staff and ambiance delivered. Great place for date night, my wife and I tried a variety of dishes…"
"Luna Rotisserie & Tap Room","(919) 537-8958","","infocarrboro@lunarotisserie.com,infodurham@lunarotisserie.com","http://lunarotisserie.com","","https://www.instagram.com/lunacarrboro,https://www.instagram.com/lunarotisserie","https://www.facebook.com/103001688353195,https://www.facebook.com/lunarotisserie","","","","https://www.yelp.com/biz/luna-rotisserie-and-tap-room-carrboro-2","4.6","141","$$","-79.0681035","35.9110158","luna-rotisserie-and-tap-room-carrboro-2","L6Ea2Vt-R6WPmCzhbzCXTg","Latin American","/search?find_desc=Latin+American&find_loc=Chapel+Hill%2C+NC","Empanadas","/search?find_desc=Empanadas&find_loc=Chapel+Hill%2C+NC","Cocktail Bars","/search?find_desc=Cocktail+Bars&find_loc=Chapel+Hill%2C+NC","","","","","","false","","","16","false","","We love Luna!!

Our first time here was on a trip to check out Raleigh-Durham before we moved here. Since relocating, we've eaten here at least half a…"
"Iza Whiskey & Eats","(919) 869-7322","","info@izaeats.com","http://www.izaeats.com","","https://www.instagram.com/izawhiskeyeats","https://www.facebook.com/izawhiskeyeats","https://twitter.com/#","","","https://www.yelp.com/biz/iza-whiskey-and-eats-carrboro","4.6","263","$$","-79.067691","35.9106908","iza-whiskey-and-eats-carrboro","X6g2TsxLM2qLEGInhzDQ3w","Sushi Bars","/search?find_desc=Sushi+Bars&find_loc=Chapel+Hill%2C+NC","Whiskey Bars","/search?find_desc=Whiskey+Bars&find_loc=Chapel+Hill%2C+NC","Asian Fusion","/search?find_desc=Asian+Fusion&find_loc=Chapel+Hill%2C+NC","Casual","/search?find_desc=Casual&find_loc=Chapel+Hill%2C+NC","Trendy","/search?find_desc=Trendy&find_loc=Chapel+Hill%2C+NC","","false","","","17","false","","When searching for a late-night dinner option after my brother's graduation in Chapel Hill. I came across Iza! The restaurant was surprisingly…"
"Kahlovera Mexican Bar & Grill","(984) 999-4537","","khalovera.tacos@gmail.com,info@mysite.com,kahloveramexican@gmail.com","http://www.kahloveratacos.com","","https://www.instagram.com/kahloveraMX,https://www.instagram.com/KahloveraMX","https://www.facebook.com/Kahlovera.UNC","","","","https://www.yelp.com/biz/kahlovera-mexican-bar-and-grill-chapel-hill-3","4.2","177","$$","-79.0107482","35.9055573","kahlovera-mexican-bar-and-grill-chapel-hill-3","0v9FrpeXTMlcEHOzea72Sg","Mexican","/search?find_desc=Mexican&find_loc=Chapel+Hill%2C+NC","Sports Bars","/search?find_desc=Sports+Bars&find_loc=Chapel+Hill%2C+NC","New American","/search?find_desc=New+American&find_loc=Chapel+Hill%2C+NC","Casual","/search?find_desc=Casual&find_loc=Chapel+Hill%2C+NC","Trendy","/search?find_desc=Trendy&find_loc=Chapel+Hill%2C+NC","","false","","","18","false","","My family and I have been eating here since it was a food truck. We have always loved the food here and it never disappoints. The restaurant has…"
"Il Palio Ristorante","(919) 918-2545","","","http://www.ilpalio.com","","","","","","","https://www.yelp.com/biz/il-palio-ristorante-chapel-hill","3.9","199","$$$","-79.0345603","35.9303549","il-palio-ristorante-chapel-hill","dje3fr7pL6_OjA_OhFasKA","Italian","/search?find_desc=Italian&find_loc=Chapel+Hill%2C+NC","Wine Bars","/search?find_desc=Wine+Bars&find_loc=Chapel+Hill%2C+NC","Cocktail Bars","/search?find_desc=Cocktail+Bars&find_loc=Chapel+Hill%2C+NC","Upscale","/search?find_desc=Upscale&find_loc=Chapel+Hill%2C+NC","Classy","/search?find_desc=Classy&find_loc=Chapel+Hill%2C+NC","","false","","","19","false","","The food was so good!  The risotto was excellent. 
I sat at the bar & received excellent service!!  If I lived here it would be a regular spot!!"
"Rasa Malaysia","(984) 234-0256","","","http://www.rasamalaysiach.com","","","https://www.facebook.com/rasamalaysiasv","","","","https://www.yelp.com/biz/rasa-malaysia-chapel-hill","4.2","219","$$","-79.0656531","35.8819622","rasa-malaysia-chapel-hill","4u_CmKmP6BhYyBbPWIKBGg","Malaysian","/search?find_desc=Malaysian&find_loc=Chapel+Hill%2C+NC","Seafood","/search?find_desc=Seafood&find_loc=Chapel+Hill%2C+NC","Noodles","/search?find_desc=Noodles&find_loc=Chapel+Hill%2C+NC","Casual","/search?find_desc=Casual&find_loc=Chapel+Hill%2C+NC","Romantic","/search?find_desc=Romantic&find_loc=Chapel+Hill%2C+NC","","false","","","20","false","","My family and I have been coming here for years. The food is amazing! I recommend the Laksa, vegetable samosas, Roti Canai, and my toddler loves the…"
"Coco Bistro & Bar","(919) 883-9003","","hi@cocochapelhill.com","http://cocochapelhill.com","","https://www.instagram.com/cocochapelhill","https://www.facebook.com/268451143500648","https://twitter.com/cocochapelhill","","","https://www.yelp.com/biz/coco-bistro-and-bar-chapel-hill","4.3","101","$$","-79.02585669999999","35.9135278","coco-bistro-and-bar-chapel-hill","GZqhurAwoIG5z9vrITy4MQ","Coffee & Tea","/search?find_desc=Coffee+%26+Tea&find_loc=Chapel+Hill%2C+NC","Breakfast & Brunch","/search?find_desc=Breakfast+%26+Brunch&find_loc=Chapel+Hill%2C+NC","Cocktail Bars","/search?find_desc=Cocktail+Bars&find_loc=Chapel+Hill%2C+NC","","","","","","false","","","21","false","","Beautiful Vegan-Plant Based Spot. 

First time here at the recommendation of a friend. Very open space with lots of windows. It is  located on the…"
"Snooze, an A.M. Eatery","(984) 278-6270","","eggme@snoozeeatery.com","https://www.snoozeeatery.com/restaurant/north-carolina/chapel-hill/","","https://www.instagram.com/snoozeameatery","https://www.facebook.com/Snooze.Official.Page","https://twitter.com/SnoozeAMEatery","https://linkedin.com/company/snooze-am-eatery","","https://www.yelp.com/biz/snooze-an-a-m-eatery-chapel-hill","4.3","126","$$","-79.02638","35.935491015179046","snooze-an-a-m-eatery-chapel-hill","h-fNvSe72h3k-6hGVUMtwg","Breakfast & Brunch","/search?find_desc=Breakfast+%26+Brunch&find_loc=Chapel+Hill%2C+NC","American","/search?find_desc=American&find_loc=Chapel+Hill%2C+NC","Cocktail Bars","/search?find_desc=Cocktail+Bars&find_loc=Chapel+Hill%2C+NC","Casual","/search?find_desc=Casual&find_loc=Chapel+Hill%2C+NC","Hipster","/search?find_desc=Hipster&find_loc=Chapel+Hill%2C+NC","","false","","","22","false","","Emma!!!! Great server and the food Amazing!!!! Bazinga!!!  I had a little bit of everything and it was all good! Pancakes flight is so good!"
"Lucha Tigre","(919) 904-7326","","luchatigrech@gmail.com","http://luchatigre.com/","","https://www.instagram.com/luchatigre","https://www.facebook.com/463690636994868","https://twitter.com/LuchaTigreCH","","","https://www.yelp.com/biz/lucha-tigre-chapel-hill","3.9","434","$$","-79.05332861022143","35.924752358519065","lucha-tigre-chapel-hill","huMYWTNcjWNMd4padQERhQ","Asian Fusion","/search?find_desc=Asian+Fusion&find_loc=Chapel+Hill%2C+NC","Mexican","/search?find_desc=Mexican&find_loc=Chapel+Hill%2C+NC","Tapas/Small Plates","/search?find_desc=Tapas%2FSmall+Plates&find_loc=Chapel+Hill%2C+NC","Casual","/search?find_desc=Casual&find_loc=Chapel+Hill%2C+NC","Trendy","/search?find_desc=Trendy&find_loc=Chapel+Hill%2C+NC","","false","","","23","false","","We visited during the weekend, we were able to get a table without a wait, the service was great, the food came relatively fast. We got Pad Thai al…"
"Merritt’s Grill","(919) 942-4897","","merrittsgrillblt@gmail.com,email@example.com,employment@spothopperapp.com","http://www.merrittsblt.com","","https://www.instagram.com/merritts_grill","https://www.facebook.com/162934750421232","https://twitter.com/merrittsgrill","","","https://www.yelp.com/biz/merritts-grill-chapel-hill","4.5","684","$","-79.0580630823163","35.895513255937","merritts-grill-chapel-hill","wPc5Bl6u9x8Ndw6uAnDeFg","Sandwiches","/search?find_desc=Sandwiches&find_loc=Chapel+Hill%2C+NC","Casual","/search?find_desc=Casual&find_loc=Chapel+Hill%2C+NC","Hipster","/search?find_desc=Hipster&find_loc=Chapel+Hill%2C+NC","","","","","","false","","","24","false","","Been here 3X and as much as I want to order something else, I find myself ordering the burger. All 3X has been fantastic. Literally it looks like a…"
"Jujube","(919) 960-0555","","","http://www.jujuberestaurant.com/","","","","","","","https://www.yelp.com/biz/jujube-chapel-hill","3.9","299","$$","-79.0261769","35.9089023","jujube-chapel-hill","DGE4jkh8EIqiOJ3UyVLb4Q","Chinese","/search?find_desc=Chinese&find_loc=Chapel+Hill%2C+NC","Noodles","/search?find_desc=Noodles&find_loc=Chapel+Hill%2C+NC","Vietnamese","/search?find_desc=Vietnamese&find_loc=Chapel+Hill%2C+NC","Romantic","/search?find_desc=Romantic&find_loc=Chapel+Hill%2C+NC","Trendy","/search?find_desc=Trendy&find_loc=Chapel+Hill%2C+NC","","false","","","25","false","","this place was fantastic! almost a hidden gem. owner was crazy nice. has some incredible food. i would go back just for the short rib wontons. no…"
"Bin 54 Steak & Cellar","(919) 969-1155","","info@bin54chapelhill.com","http://bin54chapelhill.com","","https://www.instagram.com/bin54chapelhill","https://web.facebook.com/Bin54ChapelHill","https://twitter.com/bin54chapelhill","https://www.linkedin.com/company/bin54chapelhill","","https://www.yelp.com/biz/bin-54-steak-and-cellar-chapel-hill-2","4.1","271","$$$","-79.025241","35.909091","bin-54-steak-and-cellar-chapel-hill-2","05VzqWz4aIpQ0CxIX6etsg","Steakhouses","/search?find_desc=Steakhouses&find_loc=Chapel+Hill%2C+NC","Venues & Event Spaces","/search?find_desc=Venues+%26+Event+Spaces&find_loc=Chapel+Hill%2C+NC","Seafood","/search?find_desc=Seafood&find_loc=Chapel+Hill%2C+NC","Romantic","/search?find_desc=Romantic&find_loc=Chapel+Hill%2C+NC","Classy","/search?find_desc=Classy&find_loc=Chapel+Hill%2C+NC","","false","","","26","false","","A proper steakhouse with a smokehouse aroma as soon as you enter. That sweet smell of wood-grilled meat and the ambiance to go with it.  That is once…"
"Thai Station Restaurant","(984) 234-3230","","","https://www.thaistationnc.com","","https://www.instagram.com/wix","https://www.facebook.com/thaistationrestaurantcarrboronc","","","","https://www.yelp.com/biz/thai-station-restaurant-carrboro","4.4","153","$$","-79.0701328","35.9110971","thai-station-restaurant-carrboro","wON2TGr2vBWTpFOkQGZ03Q","Thai","/search?find_desc=Thai&find_loc=Chapel+Hill%2C+NC","Asian Fusion","/search?find_desc=Asian+Fusion&find_loc=Chapel+Hill%2C+NC","Trendy","/search?find_desc=Trendy&find_loc=Chapel+Hill%2C+NC","Casual","/search?find_desc=Casual&find_loc=Chapel+Hill%2C+NC","","","","false","","","27","false","","Best Thai food I have had. Super atmosphere and great service. If coconut cake is there it's a must have. Tonight we tried ""W""s coconut ice cream.…"
"Squid’s","(919) 942-8757","","squids@squidsrestaurant.com","http://www.squidsrestaurant.com","","https://www.instagram.com/squidschapelhill","https://www.facebook.com/2008,https://www.facebook.com/Squids-Restaurant-and-Oyster-Bar-94953459244","https://twitter.com/squidschnc","","","https://www.yelp.com/biz/squids-chapel-hill","3.9","243","$$","-79.0249800682068","35.9315425797124","squids-chapel-hill","gAYq4KFdhpR5v7V0GNWHzg","Seafood","/search?find_desc=Seafood&find_loc=Chapel+Hill%2C+NC","Desserts","/search?find_desc=Desserts&find_loc=Chapel+Hill%2C+NC","Casual","/search?find_desc=Casual&find_loc=Chapel+Hill%2C+NC","Classy","/search?find_desc=Classy&find_loc=Chapel+Hill%2C+NC","","","","false","","","28","false","","The fifth star is missing along with the flavors of the foods. We had came from another seafood place a day before and was excited to try here out.…"
"Oakleaf","(984) 234-0054","","oakleafnc@gmail.com","https://oakleafnc.com","","","https://www.facebook.com/OakleafNC","https://twitter.com/Oakleafnc","","","https://www.yelp.com/biz/oakleaf-carrboro","4.4","100","","-79.069228","35.9102611","oakleaf-carrboro","bsFaiB01V7mMCVJ_PS77qA","New American","/search?find_desc=New+American&find_loc=Chapel+Hill%2C+NC","Trendy","/search?find_desc=Trendy&find_loc=Chapel+Hill%2C+NC","Intimate","/search?find_desc=Intimate&find_loc=Chapel+Hill%2C+NC","","","","","","false","","","29","false","","This is our favorite restaurant for special occasion celebrations- birthdays, anniversary.  We love the chef's tasting menu with wine pairings. The…"
"Que Chula","(919) 903-8000","","info@quechulatacos.com","https://quechulatacos.com","","https://www.instagram.com/quechula.tacos","https://www.facebook.com/quechulatacos","","","","https://www.yelp.com/biz/que-chula-chapel-hill-2","4.1","113","$$","-79.05789546914936","35.91249545089688","que-chula-chapel-hill-2","utwEiTKBGqbmx6p-ss1OeA","Tacos","/search?find_desc=Tacos&find_loc=Chapel+Hill%2C+NC","Casual","/search?find_desc=Casual&find_loc=Chapel+Hill%2C+NC","Trendy","/search?find_desc=Trendy&find_loc=Chapel+Hill%2C+NC","","","","","","false","","","30","false","","Wow. What a great spot right in the heart of Chapel Hill. 

Chips and salsa was wonderful and the service attentive. 

The star of my day was the…"
"Flair Restaurant","(919) 967-9990","","elainemandu16@gmail.com","http://flairfusionrestaurant.com","","","","","","","https://www.yelp.com/biz/flair-restaurant-chapel-hill-3","4.3","164","$$","-79.0252925","35.8536788","flair-restaurant-chapel-hill-3","8cpzJ-F3MU0qUP7G19tznA","New American","/search?find_desc=New+American&find_loc=Chapel+Hill%2C+NC","Breakfast & Brunch","/search?find_desc=Breakfast+%26+Brunch&find_loc=Chapel+Hill%2C+NC","Asian Fusion","/search?find_desc=Asian+Fusion&find_loc=Chapel+Hill%2C+NC","Upscale","/search?find_desc=Upscale&find_loc=Chapel+Hill%2C+NC","Romantic","/search?find_desc=Romantic&find_loc=Chapel+Hill%2C+NC","","false","","","31","false","","Amazing atmosphere, food, and service. Highly recommend it!!! One of the best meals we have ever had in the triangle."
"Brandwein’s Bagels","(919) 240-7071","","orders@brandweinsbagels.com","http://brandweinsbagels.com","","","","","","","https://www.yelp.com/biz/brandweins-bagels-chapel-hill","4.3","237","","-79.06461589999999","35.9109849","brandweins-bagels-chapel-hill","VoKSJ9QBXBljEVuCBB5QUg","Bagels","/search?find_desc=Bagels&find_loc=Chapel+Hill%2C+NC","Breakfast & Brunch","/search?find_desc=Breakfast+%26+Brunch&find_loc=Chapel+Hill%2C+NC","Sandwiches","/search?find_desc=Sandwiches&find_loc=Chapel+Hill%2C+NC","","","","","","false","","","32","false","","I was flying in from boston this past Saturday and needed bagels for breaking fast after yom kippur.  I thought I already ordered to have something…"
